wilayah,nama_puskesmas,alamat_puskesmas,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cipete Utara,"Jl. H Saba 05/11, Cipete Utara",,,,,,,,,,,,,
Jakarta Selatan,KEC. Kebayoran Lama,Jl. Ciputat Raya No. 11   (05/01),,,,,,,,,,,,,
Jakarta Selatan,Kel. Pondok Pinang,Jl. Ciputat Raya RT 01/08,,,,,,,,,,,,,
Jakarta Selatan,Kel. Grogol Utara I,Jl. Tanah Baru V RT 02/ 01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Grogol Utara II,Jl. Kemandoran I RT 04/05,,,,,,,,,,,,,
Jakarta Selatan,Kel. Grogol Selatan,Jl. Kuburan Islam RT 10/10,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cipulir I,Jl. Ciledug Raya Gg. Indra No. 33 ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cipulir II,Jl. Kebun Mangga III No 29 RT 03/02),,,,,,,,,,,,,
Jakarta Selatan,Kel. Kebayoran Lama Utara,Jl. Delman Utama I No 35 Rt 005/011,,,,,,,,,,,,,
Jakarta Selatan,KEC. Cilandak,Jl. Komp. BNI 1946 RT 04/05 No. 37,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cilandak Barat,Jl. Sakura No. 127 Komp.MPR RT 04/07,,,,,,,,,,,,,
Jakarta Selatan,Kel. Gandaria Selatan,Jl. Poncol Raya No. 24 RT 08/01 ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cipete Selatan,Jl. Anggur II Komp. BRI RT 08/06,,,,,,,,,,,,,
Jakarta Selatan,Kel. Lebak Bulus,Jl. Karang Tengah RT 01/03 No. 19,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pondok Labu I,Jl. Kelurahan Lama No. 2 RT 03/07,,,,,,,,,,,,,
Jakarta Selatan,KEC. Jagakarsa,"Jalan Sirsak No.2, Rt 02/02 ",,,,,,,,,,,,,
Jakarta Selatan,Kel. Jagakarsa I,Jl. Raya Jagakarsa I RT 003/07,,,,,,,,,,,,,
Jakarta Selatan,Kel. Jagakarsa II,Jl. Jati Padang Ujung RT 012,,,,,,,,,,,,,
Jakarta Selatan,Kel. Lenteng Agung I,Jl.Lenteng Agung (Lontar) RT 08/03,,,,,,,,,,,,,
Jakarta Selatan,Kel. Lenteng Agung II,Jl. Gg. Camat Gabun ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Srengseng Sawah,Jl. Batu RT 13/09,,,,,,,,,,,,,
Jakarta Selatan,Kel. Ciganjur,Jl Pasir Ciganjur,,,,,,,,,,,,,
Jakarta Selatan,Kel. Tanjung Barat,,,,,,,,,,,,,,
Jakarta Selatan,KEC. Pancoran,Jl. Potlot II / 6 Duren Tiga Jak-Sel,,,,,,,,,,,,,
Jakarta Selatan,Kel. Duren Tiga,Jl. H. Mahmud Raya No.16 RT 03/04,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kalibata I,Jl. Empang Tiga ,,,,,,,,,,,,,
Jakarta Selatan,Kel. Kalibata II,Jl. Warung Jati VII RT 08/04,,,,,,,,,,,,,
Jakarta Selatan,Kel. Cikoko,Jl. Cikoko Timur Raya Rt 002/01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pengadegan,Jl. Pengadegan Timur Raya No 1 RT 01/01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Rawajati I,Jl. Comp. Zeni AD RT 02/03,,,,,,,,,,,,,
Jakarta Selatan,Kel. Rawajati II,Jl. Bina Marga No 11 RT 05/07,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pancoran,Jl. Pancoran Barat IV ,,,,,,,,,,,,,
Jakarta Selatan,KEC. Pesanggrahan,Jl Palem VII rt 001 rw 009,,,,,,,,,,,,,
Jakarta Selatan,Kel. Petukangan Utara,Jl. Masjid Darul Fallah RT 004/03 PetukanganUtara,,,,,,,,,,,,,
Jakarta Selatan,Kel. Pesanggrahan,Jl. Wijaya Kesuma No.1 RT 09/01,,,,,,,,,,,,,
Jakarta Selatan,Kel. Petukangan Selatan,Jl. Kemajuan RT 007/04 Petukangan Selatan,,,,,,,,,,,,,
Jakarta Selatan,Kel. Ulujami,Jl. Kelurahan Ulujami No. 17 RT 001/04 Kec. Pasanggrahan,,,,,,,,,,,,,
Jakarta Selatan,Kel. Bintaro,Jl. Veteran RT 001/03 Bintaro ,,,,,,,,,,,,,
Jakarta Timur,KEC. Pasar Rebo ,Jl. Raya Kali Sari RT 010/01,,,,,,,,,,,,,
